index,Country,Subject,Gender,Year,Value
129,HUN,MATH,GIRL,2018,477.0
130,ISL,MATH,BOY,2003,508.0
131,ISL,MATH,BOY,2006,503.0
132,ISL,MATH,BOY,2009,508.0
133,ISL,MATH,BOY,2012,489.72
134,ISL,MATH,BOY,2015,487.0
135,ISL,MATH,BOY,2018,490.0
136,ISL,MATH,GIRL,2003,523.0
137,ISL,MATH,GIRL,2006,508.0
138,ISL,MATH,GIRL,2009,505.0
139,ISL,MATH,GIRL,2012,495.947
140,ISL,MATH,GIRL,2015,489.0
141,ISL,MATH,GIRL,2018,500.0
142,IRL,MATH,BOY,2003,510.0
143,IRL,MATH,BOY,2006,507.0
144,IRL,MATH,BOY,2009,491.0
145,IRL,MATH,BOY,2012,509.035
146,IRL,MATH,BOY,2015,512.0
147,IRL,MATH,BOY,2018,503.0
148,IRL,MATH,GIRL,2003,495.0
149,IRL,MATH,GIRL,2006,496.0
150,IRL,MATH,GIRL,2009,483.0
151,IRL,MATH,GIRL,2012,493.705
152,IRL,MATH,GIRL,2015,495.0
153,IRL,MATH,GIRL,2018,497.0
154,ITA,MATH,BOY,2003,475.0
155,ITA,MATH,BOY,2006,470.0
156,ITA,MATH,BOY,2009,490.0
157,ITA,MATH,BOY,2012,494.199
158,ITA,MATH,BOY,2015,500.0
159,ITA,MATH,BOY,2018,494.0
160,ITA,MATH,GIRL,2003,457.0
161,ITA,MATH,GIRL,2006,453.0
162,ITA,MATH,GIRL,2009,475.0
163,ITA,MATH,GIRL,2012,475.794
164,ITA,MATH,GIRL,2015,480.0
165,ITA,MATH,GIRL,2018,479.0
166,JPN,MATH,BOY,2003,539.0
167,JPN,MATH,BOY,2006,533.0
168,JPN,MATH,BOY,2009,534.0
169,JPN,MATH,BOY,2012,544.884
170,JPN,MATH,BOY,2015,539.0
171,JPN,MATH,BOY,2018,532.0
172,JPN,MATH,GIRL,2003,530.0
173,JPN,MATH,GIRL,2006,513.0
174,JPN,MATH,GIRL,2009,524.0
175,JPN,MATH,GIRL,2012,527.011
176,JPN,MATH,GIRL,2015,525.0
177,JPN,MATH,GIRL,2018,522.0
178,KOR,MATH,BOY,2003,552.0
179,KOR,MATH,BOY,2006,552.0
180,KOR,MATH,BOY,2009,548.0
181,KOR,MATH,BOY,2012,562.114
182,KOR,MATH,BOY,2015,521.0
183,KOR,MATH,BOY,2018,528.0
184,KOR,MATH,GIRL,2003,528.0
185,KOR,MATH,GIRL,2006,543.0
186,KOR,MATH,GIRL,2009,544.0
187,KOR,MATH,GIRL,2012,544.193
188,KOR,MATH,GIRL,2015,528.0
189,KOR,MATH,GIRL,2018,524.0
190,LUX,MATH,BOY,2003,502.0
191,LUX,MATH,BOY,2006,498.0
192,LUX,MATH,BOY,2009,499.0
193,LUX,MATH,BOY,2012,502.193
194,LUX,MATH,BOY,2015,491.0
195,LUX,MATH,BOY,2018,487.0
196,LUX,MATH,GIRL,2003,485.0
197,LUX,MATH,GIRL,2006,482.0
198,LUX,MATH,GIRL,2009,479.0
199,LUX,MATH,GIRL,2012,477.117
200,LUX,MATH,GIRL,2015,480.0
201,LUX,MATH,GIRL,2018,480.0
202,MEX,MATH,BOY,2003,391.0
203,MEX,MATH,BOY,2006,410.0
204,MEX,MATH,BOY,2009,425.0
205,MEX,MATH,BOY,2012,420.411
206,MEX,MATH,BOY,2015,412.0
207,MEX,MATH,BOY,2018,415.0
208,MEX,MATH,GIRL,2003,380.0
209,MEX,MATH,GIRL,2006,401.0
210,MEX,MATH,GIRL,2009,412.0
211,MEX,MATH,GIRL,2012,406.427
212,MEX,MATH,GIRL,2015,404.0
